run_accession,study_accession,species,experiment_title
SRR28382681,SRP496253,Mus musculus,7_days
SRR28382685,SRP496253,Mus musculus,4_days
SRR28382679,SRP496253,Mus musculus,0_days
SRR28382686,SRP496253,Mus musculus,4_days
SRR28382687,SRP496253,Mus musculus,2_days
SRR28382677,SRP496253,Mus musculus,2_days
SRR28382678,SRP496253,Mus musculus,2_days
SRR28382680,SRP496253,Mus musculus,7_days
SRR28382682,SRP496253,Mus musculus,0_days
SRR28382683,SRP496253,Mus musculus,7_days
SRR28382684,SRP496253,Mus musculus,4_days
SRR28382688,SRP496253,Mus musculus,0_days


