run_accession,study_accession,species,experiment_title
SRR037946,PRJNA124751,Mus musculus,24 hours
SRR037948,PRJNA124751,Mus musculus,60 hours
SRR037949,PRJNA124751,Mus musculus,60 hours
SRR037950,PRJNA124751,Mus musculus,120 hours
SRR037952,PRJNA124751,Mus musculus,168 hours
SRR037954,PRJNA124751,Mus musculus,168 hours
SRR037945,PRJNA124751,Mus musculus,24 hours
SRR037947,PRJNA124751,Mus musculus,60 hours
SRR037951,PRJNA124751,Mus musculus,120 hours
SRR037953,PRJNA124751,Mus musculus,168 hours
