"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Sorbs1","MmuEX0044362","chr19:40340685-40340750",0.876306964385273,1,13.6757356314054,0
"Capn3","MmuEX0009070","chr2:120486333-120486476",0.853980721329988,1,16.7047391586824,0
"Sorbs1","MmuEX0044363","chr19:40340045-40340146",0.846047653382751,1,10.2600165138403,0
"Fhod3","MmuEX0019237","chr18:25020662-25020757",0.840243902110477,1,13.5772244086133,0
"Pdlim3","MmuEX0034278","chr8:45909019-45909086",0.827118341557723,1,66.7420769620959,0
"Tpm1","MmuEX0048596","chr9:67029664-67029742",0.81796978868922,1,105.917222173299,0
"Flnc","MmuEX0019346","chr6:29452799-29452897",-0.809639144307854,1,48.4431044256313,0
"Coro6","MmuEX0012480","chr11:77467750-77467869",0.805262378037017,1,29.9669179078883,0
"Lmo7","MmuEX0026630","chr14:101915688-101915744",-0.800920679263241,1,25.2432270150732,0
"Pdlim3","MmuEX0034277","chr8:45908469-45908656",-0.791540569752937,1,91.6237962541735,0
"Svil","MmuEX0045856","chr18:5054018-5054098",0.787580125021967,1,9.7622206085822,0
"Phkb","MmuEX0034842","chr8:86025198-86025288",0.781183486711607,1,12.5195142628443,0
"Seh1l","MmuEX1023224","chr18:67793217-67793677",-0.776606092906326,1,20.6141731264616,0
"Usp28","MmuEX0050910","chr9:49032509-49032616",0.775871293331684,1,17.6448200310375,0
"Myo18a","MmuEX1017973","chr11:77859019-77860331",0.765332098692657,1,19.9227965730512,0
"Bin1","MmuEX0007973","chr18:32423242-32423286",0.762930900855356,1,79.5710686101614,0
"Lmo7","MmuEX0026626","chr14:101885291-101885572",0.761234270994038,1,29.210889505938,0
"Svil","MmuEX0045858","chr18:5057275-5057439",0.757026897644293,1,11.0297376726365,0
"Mical3","MmuEX0028988","chr6:120969355-120969492",0.755350743274395,1,7.89807108736891,0
"Dtna","MmuEX0015812","chr18:23611064-23611156",0.752030623995341,1,12.1815996137651,0
"Mical3","MmuEX0028985","chr6:120971763-120971840",0.752004044822962,1,13.6820713164573,0
"Lmo7","MmuEX0026627","chr14:101886937-101887656",0.750347589208585,1,30.2829407238032,0
"Slc25a3","MmuEX0042888","chr10:91122207-91122331",0.734973772131135,1,65.3925312118077,0
"Lrp4","MmuEX0026886","chr2:91509660-91509718",0.728660268379698,1,10.2252341072936,0
"Slc25a3","MmuEX0042889","chr10:91121922-91122043",-0.720796603246782,1,99.8581127003843,0
"Ncam1","MmuEX0031042","chr9:49541888-49541902",0.720736715086155,1,8.10107056436695,0
"Anxa7","MmuEX0005349","chr14:20467458-20467523",0.716878193746456,1,36.1339732855343,0
"Enah","MmuEX0016847","chr1:181911597-181911659",0.715555066196077,1,30.9746684178163,0
"Clasp1","MmuEX1006888","chr1:118546186-118546188",-0.71340743049481,1,11.4261742260569,0
"Ank1","MmuEX0004885","chr8:23141596-23141720",0.708807937448953,1,26.8906865793833,0
"Smtn","MmuEX0044004","chr11:3525042-3525201",-0.708017260761083,1,18.0818755446081,0
"Rapgef1","MmuEX0038772","chr2:29719593-29719850",0.70800740506263,1,25.1839207011814,0
"Pdlim3","MmuEX0034279","chr8:45913697-45913960",0.698352718694042,1,59.8218276473172,0
"Dtna","MmuEX0015806","chr18:23633218-23633238",0.690200466154034,1,13.7050748551504,0
"Mfn2","MmuEX0028801","chr4:147902928-147902993",0.672497836897486,1,31.3692760874628,0
"Uso1","MmuEX0050799","chr5:92183482-92183502",0.670245959039718,1,14.7124993967564,0
"Sorbs2","MmuEX1024511","chr8:45811580-45811774",0.669615483495439,1,21.252915299,0
"Immt","MmuEX0024087","chr6:71852766-71852867",-0.663258542227059,1,28.7175485154212,0
"Fxr1","MmuEX0019782","chr3:34064974-34065054",0.652830215850275,1,27.7652520379948,0
"Camk2d","MmuEX0008975","chr3:126805857-126805916",0.647521279328831,1,13.8720918741718,0
"Fermt2","MmuEX0019078","chr14:45476418-45476450",0.647028577001191,1,24.0499447333317,0
"Pdlim7","MmuEX0034298","chr13:55507864-55507880",0.641129904365483,1,30.1782924120706,0
"Sorbs2","MmuEX0044383","chr8:45783543-45783626",0.638224567828232,1,12.2468359547448,0
"Ncam1","MmuEX0031045","chr9:49536990-49537037",0.636962005511263,1,22.2248793713802,0
"Macf1","MmuEX0027446","chr4:123542492-123542587",0.634237717424298,0.996666666666667,9.16400745710531,0
"Rilpl1","MmuEX0039831","chr5:124495899-124495922",0.621740423380887,1,14.9780287888766,0
"Slc4a7","MmuEX0043430","chr14:14742414-14742782",0.616948245451892,1,12.1909235682362,0
"Dysf","MmuEX0016016","chr6:84064511-84064563",-0.616138768475717,1,7.80578418482862,0
"Porcn","MmuEX1020556","chrX:8203026-8203043",0.611477588520811,1,5.91030701518397,0
"Palld","MmuEX0033519","chr8:61534858-61534908",0.60604553366607,1,7.92224579772373,0
"Hspg2","MmuEX0023410","chr4:137559951-137559968",0.602883176140918,1,31.759332173611,0
"Nexn","MmuEX0031536","chr3:152253612-152253803",0.601130331588577,1,12.7170797249989,0
"Ndrg4","MmuEX0031251","chr8:95712325-95712363",0.600011512982553,1,13.916649359429,0
"Mef2d","MmuEX0028567","chr3:88158221-88158300",0.595911190277004,1,13.7005066756378,0
"Hdac9","MmuEX1014519","chr12:34528600-34528666",0.592377687913648,0.986666666666667,3.8144370914115,0
"Usp47","MmuEX0051049","chr7:112046927-112046986",0.584512653633378,1,12.7071911692104,0
"Rapgef1","MmuEX0038771","chr2:29710156-29710308",0.582040868020302,1,29.5766102856848,0
"Mef2d","MmuEX0028566","chr3:88158034-88158171",-0.572428580107205,1,14.2218406771687,0
"Trip10","MmuEX0048979","chr17:57256860-57257027",0.571038406777632,1,16.4882958692006,0
"Smtn","MmuEX0044005","chr11:3524883-3524945",-0.564358196272417,1,20.7592974941315,0
"Tnip1","MmuEX0048303","chr11:54956021-54956178",-0.561548369327167,1,13.3241557021599,0
"Mef2c","MmuEX1017062","chr13:83525036-83525080",-0.558623161779683,1,12.4250468574612,0
"Dst","MmuEX0015773","chr1:34301861-34301932",0.556860262246372,1,17.5115132152616,0
"Eya4","MmuEX0017690","chr10:23109832-23109932",0.554000023260647,1,9.68941331874307,0
"Sorbs1","MmuEX0044373","chr19:40395679-40395768",0.553497391108646,1,8.25040375785609,0
