"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Twf2","MmuINT0168360","chr9:106203285-106206888",0.833644731439405,1,23.5300169303706,0
"Tns1","MmuINT0163627","chr1:73995373-73997048",-0.765220894551299,1,6.86525734434028,0
"Arl2bp","MmuINT0018915","chr8:94666902-94667596",0.76276152804432,1,36.5960630909244,0
"Tead3","MmuINT0158673","chr17:28335497-28336510",0.73600286279226,1,4.39039630651515,0
"Tpm2","MmuINT1033613","chr4:43514862-43518229",0.728648551841151,1,54.3889296788117,0
"Obsl1","MmuINT0112574","chr1:75489750-75490795",-0.704588777773763,1,10.2151087045687,0
"Pcgf2","MmuINT1026344","chr11:97699301-97699535",0.7018503586131,1,9.64471218503015,0
"Exosc9","MmuINT0059882","chr3:36565297-36565428",-0.697664020831858,1,30.8548265719289,0
"Tnni2","MmuINT1033479","chr7:142441869-142442468",-0.643766669150819,1,41.8567990062829,0
"Mapk8","MmuINT0095565","chr14:33390745-33392941",-0.638831193907115,0.975,3.05032296526992,0
"Susd5","MmuINT0155319","chr9:114082610-114095636",0.630009220334737,0.999,7.33481521344171,0
"Fgfr4","MmuINT0064317","chr13:55155572-55156230",0.617516971506704,1,5.7189568888244,0
"Rusc1","MmuINT0137999","chr3:89089768-89090495",0.613777707224135,1,3.87025665493087,0
"Tpm2","MmuINT0164196","chr4:43519079-43519226",0.601541005769558,1,22.9700585886393,0
"Eda2r","MmuINT1009308","chrX:97337451-97338802",-0.600381086820996,1,9.77335970542044,0
"Mapk8ip3","MmuINT1022776","chr17:24914706-24917994",-0.59838878548666,1,2.731624206427,0
"Exosc9","MmuINT1009847","chr3:36563258-36565217",-0.598039221336394,1,17.0502451610745,0
"Tpm2","MmuINT0164197","chr4:43518465-43519002",0.581318781632996,1,9.03530485407538,0
"Rundc3a","MmuINT1030546","chr11:102401001-102401980",-0.58053930168405,1,8.19335611087714,0
"Usp5","MmuINT0172005","chr6:124818032-124818543",0.572644560492061,1,21.1173034288034,0
"Dhdds","MmuINT0048963","chr4:133980232-133982799",0.566785068048486,1,8.77597362260354,0
"Pfkm","MmuINT1026524","chr15:98108612-98112153",0.563486380429296,1,16.2051441446836,0
"Kansl3","MmuINT0003388","chr1:36346030-36348524",0.554021601794758,1,5.58798387686333,0
"Gm12319","MmuINT1011863","chr11:70654897-70656292",-0.545877292699071,0.997,4.3840687385241,0
"Agbl5","MmuINT0012621","chr5:30894071-30894374",0.535969093663071,0.991,5.66126158895844,0
