"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Sorbs1","MmuEX0044363","chr19:40340045-40340146",0.931489711117938,1,41.991159867744,0
"Myo18a","MmuEX1017973","chr11:77859019-77860331",0.929406305510786,1,99.3689436586298,0
"Fsd1l","MmuEX0019699","chr4:53687207-53687239",0.925925696964485,1,21.0714116384495,0
"Slc25a3","MmuEX0042889","chr10:91121922-91122043",-0.925681784032921,1,108.09463310397,0
"Lmo7","MmuEX0026627","chr14:101886937-101887656",0.921297690243269,1,47.2642797616984,0
"Slc25a3","MmuEX0042888","chr10:91122207-91122331",0.92045608339935,1,148.719214917283,0
"Lrrfip2","MmuEX0027140","chr9:111213813-111213914",0.912429118591884,1,47.6079324596576,0
"Lrrfip2","MmuEX0027139","chr9:111207797-111207889",0.900695371009218,1,46.1260332615449,0
"Tpm1","MmuEX0048596","chr9:67029664-67029742",0.900159742878745,1,242.344816010323,0
"Phkb","MmuEX0034846","chr8:86026457-86026547",-0.899424776868016,1,50.8303148554405,0
"Flnc","MmuEX0019346","chr6:29452799-29452897",-0.895986876959366,1,71.758293221003,0
"Dtna","MmuEX0015806","chr18:23633218-23633238",0.893351386424327,1,39.0668371152449,0
"Fhod3","MmuEX0019238","chr18:25022622-25022978",0.893226396344705,1,17.9202302464189,0
"Usp28","MmuEX0050910","chr9:49032509-49032616",0.89249318320713,1,21.322440268346,0
"Anxa7","MmuEX0005349","chr14:20467458-20467523",0.892168767479123,1,58.5115462890408,0
"Clasp1","MmuEX1006888","chr1:118546186-118546188",-0.890085861331755,1,21.1799368334708,0
"Coro6","MmuEX0012480","chr11:77467750-77467869",0.886360819508963,1,23.4866501538257,0
"Seh1l","MmuEX1023224","chr18:67793217-67793677",-0.882850248541277,1,29.1149596342953,0
"Usp25","MmuEX0050892","chr16:77099651-77099746",0.882358366731546,1,33.3659847606705,0
"Lmo7","MmuEX0026626","chr14:101885291-101885572",0.880345392715362,1,36.1867486203796,0
"Lmo7","MmuEX0026630","chr14:101915688-101915744",-0.879767027551853,1,47.5832501381899,0
"Uso1","MmuEX0050799","chr5:92183482-92183502",0.879618300784369,1,38.1123683698624,0
"Svil","MmuEX0045858","chr18:5057275-5057439",0.878042519624474,1,12.423987025691,0
"Ubr4","MmuEX0050360","chr4:139432482-139432514",0.877042863279747,1,27.9449536502934,0
"Capn3","MmuEX0009070","chr2:120486333-120486476",0.876947455376121,1,25.431738533077,0
"Porcn","MmuEX0036385","chrX:8201663-8201672",0.874957776681506,1,34.5008387845554,0
"Asph","MmuEX0006462","chr4:9624360-9624401",0.870317909063666,1,39.3735872592504,0
"Fxr1","MmuEX0019782","chr3:34064974-34065054",0.870225220298562,1,45.6287997357156,0
"Cers5","MmuEX0026165","chr15:99737547-99737653",0.860542626395696,1,48.7021786396795,0
"Ncam1","MmuEX0031042","chr9:49541888-49541902",0.857213690388814,1,14.2829450647379,0
"Dst","MmuEX0015773","chr1:34301861-34301932",0.850944916621638,1,63.9525759688839,0
"Dpf2","MmuEX0015565","chr19:5903731-5903772",0.848438080508422,1,20.4822156255829,0
"Rapgef1","MmuEX0038772","chr2:29719593-29719850",0.84233774500714,1,62.0144031193002,0
"Fhod3","MmuEX0019237","chr18:25020662-25020757",0.838893769901385,1,10.37517326413,0
"Lrrfip1","MmuEX0027115","chr1:91073324-91073341",0.838036641193712,1,64.8502542874063,0
"Syne1","MmuEX0045949","chr10:5045266-5045334",-0.834791873962829,1,10.2194110324673,0
"Raph1","MmuEX0038830","chr1:60510417-60510491",0.832082707627898,1,13.5937549343781,0
"Porcn","MmuEX1020556","chrX:8203026-8203043",0.831782459136775,1,22.3046093110435,0
"Lrp4","MmuEX0026886","chr2:91509660-91509718",0.830127485893063,1,26.8827305157369,0
"Bin1","MmuEX0007973","chr18:32423242-32423286",0.828758929168091,1,174.773946692608,0
"Lrrfip1","MmuEX0027126","chr1:91110355-91110447",0.818384964674609,1,56.5356006327965,0
"Idh3b","MmuEX0023589","chr2:130279587-130279726",-0.811493540010963,1,37.1351718489678,0
"Ryr3","MmuEX0040889","chr2:112648312-112648398",0.806185747634725,1,9.80533713437838,0
"Mcf2l","MmuEX0028211","chr8:13014819-13014893",0.803474510559168,1,14.8092338535025,0
"Kcnq4","MmuEX0025138","chr4:120711223-120711384",-0.79820087956471,1,22.3860084661913,0
"Sorbs2","MmuEX0044383","chr8:45783543-45783626",0.794043377962961,1,18.5210409285053,0
"Capzb","MmuEX0009114","chr4:139288861-139288973",0.792060331655713,1,68.6856794848438,0
"Eya4","MmuEX0017690","chr10:23109832-23109932",0.787985502211868,1,35.7421033048265,0
