"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Fanca","MmuINT0062264","chr8:123268550-123268744",0.525064827833767,0.987333333333333,4.71750491260382,0
"Ccne2","MmuINT1006399","chr4:11202348-11202984",0.509186075549124,1,8.44463370752377,0
"Cenpu","MmuINT1006742","chr8:46576383-46578254",0.489175358102408,0.978,2.99667414510493,0
"Rassf7","MmuINT0132309","chr7:141215941-141216720",0.440682642979286,0.975333333333333,2.94380171840057,0.01
"Wdr76","MmuINT1035159","chr2:121528965-121531285",0.43406160494323,0.991333333333333,3.79993932036503,0
"Exosc9","MmuINT0059882","chr3:36565297-36565428",-0.406669790483489,1,7.68716099159107,0
"Pde4dip","MmuINT1026428","chr3:97730916-97741317",-0.406148385690665,0.998666666666667,4.70302929858472,0
"Zbtb18","MmuINT0178796","chr1:177444823-177447088",-0.382346718544838,0.979333333333333,4.07623088655862,0
"Arl16","MmuINT0018906","chr11:120467241-120467362",0.361146496115721,0.954666666666667,2.28033686243926,0.01
"Nabp1","MmuINT0112422","chr1:51477617-51477824",0.358396049218248,0.981333333333333,4.67160390939498,0
"Exosc9","MmuINT1009847","chr3:36563258-36565217",-0.353990216543585,1,5.35258188767553,0
"Obsl1","MmuINT1024800","chr1:75494058-75497007",-0.316476092495925,0.98,2.63526822019294,0.01
"Tpm2","MmuINT1033613","chr4:43514862-43518229",0.295513264367847,1,8.38458733058225,0
"Cdc45","MmuINT0032953","chr16:18795227-18795824",0.283486516741726,0.985333333333333,4.78052903004893,0
"Racgap1","MmuINT1029454","chr15:99643524-99651506",0.283155852147519,1,6.04706426408269,0
"Srr","MmuINT1032168","chr11:74909206-74909693",-0.271626498317184,0.995333333333333,3.51148628888992,0
"Fanci","MmuINT1010096","chr7:79449181-79449639",0.234686356285286,0.984666666666667,2.85904602582535,0
"Tsr1","MmuINT0166781","chr11:74907965-74908045",0.231111781124024,0.978666666666667,2.75666275211002,0
"Nup62","MmuINT1024691","chr7:44816484-44828486",0.223789991307859,1,4.0029858259169,0
"Eif4a2","MmuINT1009468","chr16:23111897-23113166",-0.214873675745119,1,5.13667316172224,0
"Glipr1","MmuINT0069262","chr10:111985683-111985777",-0.201523053271942,0.998,3.19690217248916,0
"Cdh11","MmuINT1006589","chr8:102664792-102667997",-0.198117921729921,0.986,6.3791120708791,0
"Tssc4","MmuINT1034011","chr7:143069514-143069754",0.195225076751116,0.985333333333333,3.19515571514031,0
"Vmp1","MmuINT0162183","chr11:86602070-86607175",0.19034595192705,0.994666666666667,3.30709913530019,0.01
"Phospho1","MmuINT1026631","chr11:95828776-95830550",0.186827916241525,0.991333333333333,3.37712625252595,0
"Zfp386","MmuINT1035591","chr12:116054849-116058904",0.185308259458134,0.962666666666667,2.58870497120599,0.03
"Tti2","MmuINT1034089","chr8:31158756-31159881",-0.1849408389817,0.985333333333333,2.58683304295618,0
"Ubtf","MmuINT1034380","chr11:102316474-102318847",-0.183053311475816,0.985333333333333,3.45500495037255,0
"Cdv3","MmuINT1006672","chr9:103355314-103356279",0.159082365539278,0.981333333333333,2.52061854859566,0
"Polr2b","MmuINT0123847","chr5:77348419-77349079",0.155816525884632,0.993333333333333,2.99937206059386,0
"Chtop","MmuINT1007179","chr3:90506262-90507544",0.155264163947005,0.998,3.63503995475694,0
"Cav1","MmuINT0029667","chr6:17306480-17307880",-0.137591991132181,0.978666666666667,2.54175310010538,0
