"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Mss51","MmuINT0180602","chr14:20487686-20496634",-0.75202551955537,1,9.549054914233,0
"Eya4","MmuINT0060004","chr10:23106289-23109831",-0.666437719886852,1,17.1878804386652,0
"Hist1h2bc","MmuINT0077927","chr13:23684622-23692175",-0.660197856037137,1,37.5808110001094,0
"Twf2","MmuINT0168360","chr9:106203285-106206888",0.658781965659074,1,10.1933938520428,0
"Obsl1","MmuINT0112574","chr1:75489750-75490795",-0.627110788669247,1,12.6952868565112,0
"RP24-98A23.2","MmuINT1029397","chr12:80190363-80191285",-0.625782068584839,1,13.0005626914852,0
"Tnni2","MmuINT1033479","chr7:142441869-142442468",-0.618522197180285,1,21.9786514743916,0
"Stk36","MmuINT0154191","chr1:74626141-74626542",0.610503983595086,1,6.48384895635701,0
"Tpm2","MmuINT1033613","chr4:43514862-43518229",0.592127386684989,1,43.6604149129368,0
"Alpk3","MmuINT0014407","chr7:81076991-81077545",-0.56470625779864,1,5.74732328076629,0
"Sh3pxd2a","MmuINT0143161","chr19:47314167-47320275",-0.561771173908129,1,9.3699060856877,0
"Cit","MmuINT0036538","chr5:115846467-115851151",0.553864842474558,1,16.8304514317722,0
"Mss51","MmuINT0180607","chr14:20483242-20483549",-0.547988452174956,1,7.17341015579476,0
"Irak2","MmuINT0083231","chr6:113686959-113690782",-0.543364715842901,1,7.69053240417148,0
"Fam132a","MmuINT0060783","chr4:155965132-155965593",-0.53266309609811,0.995333333333333,3.71360498681977,0.04
"Mapk8","MmuINT0095565","chr14:33390745-33392941",-0.52452941431627,0.978,2.40893391804526,0
"Scn5a","MmuINT1030762","chr9:119516065-119517347",-0.518744513967602,0.994666666666667,3.91037278140738,0
"Ece2","MmuINT0055029","chr16:20644437-20645059",-0.516909881297677,0.986666666666667,3.49011016942955,0
"Eya4","MmuINT0060003","chr10:23109933-23111559",-0.515380750392949,1,6.52869018721649,0
"Fahd2a","MmuINT0060413","chr2:127436846-127438112",-0.509558679127586,0.986666666666667,3.71520904226224,0
"Rusc1","MmuINT0137999","chr3:89089768-89090495",0.508591845956246,0.992666666666667,4.93029755378978,0
"Tmem86b","MmuINT0162435","chr7:4628754-4629555",-0.506941632296412,0.957333333333333,2.43453054291553,0
"Mical3","MmuINT0098658","chr6:121007430-121008994",-0.500002653717152,0.995333333333333,3.47365331340796,0
"Mapk8ip1","MmuINT0095572","chr2:92389281-92391035",-0.49106411328019,0.999333333333333,3.94359163562741,0
"Tpm2","MmuINT0164196","chr4:43519079-43519226",0.486009879356144,1,11.2204860999286,0
"Cd200","MmuINT0032085","chr16:45392389-45394592",0.484954871451989,1,15.3638236012822,0
"Obsl1","MmuINT0112573","chr1:75491069-75491187",-0.484948459543295,1,12.6313452975179,0
"Nxpe4","MmuINT0061840","chr9:48162260-48233210",-0.48251025272593,0.992,3.66918261826514,0
"Cntf","MmuINT0038259","chr19:12764381-12765280",-0.477170619405116,1,4.54128021598424,0
