"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Ldb3","MmuEX0026260","chr14:34571718-34571921",0.579803972638928,0.994,6.34047388970582,0
"Myo18a","MmuEX0030454","chr11:77812009-77812191",0.520211840848171,1,6.21294187183377,0
"Ldb3","MmuEX0026259","chr14:34576986-34577344",-0.51540420221394,0.999333333333333,5.33984285464194,0
"Cacnb1","MmuEX0008834","chr11:98011343-98011497",0.497041290137769,0.972666666666667,4.3907555374855,0
"Macf1","MmuEX0027478","chr4:123463538-123463771",0.492008363904472,1,7.48427198982485,0
"H2afy","MmuEX0022309","chr13:56088256-56088342",0.486768668385177,1,10.0359191341856,0
"Tpm2","MmuEX0048600","chr4:43518644-43518719",0.483306053689805,1,31.358547192998,0
"Myo18a","MmuEX0030453","chr11:77809806-77809858",0.476423119429801,1,6.04658216513359,0
"Tpm2","MmuEX0048599","chr4:43519003-43519078",-0.467074690522542,1,24.9528062661617,0
"H2afy","MmuEX0022308","chr13:56089758-56089857",-0.466990898592595,1,10.6568907722669,0
"Macf1","MmuEX0027477","chr4:123465356-123465505",0.436483113967079,0.999333333333333,7.3987129143392,0
"Rhobtb2","MmuEX1022482","chr14:69805037-69805518",-0.431237339707607,0.986,2.55192242556658,0
"Cmah","MmuEX0011827","chr13:24436620-24436712",-0.42778733296981,0.997333333333333,3.61130405302166,0
"Mpp6","MmuEX0029552","chr6:50176877-50176918",0.422301131614325,0.998,4.81016113297912,0
"RP23-220P13.3","MmuEX1021440","chr10:103552980-103553036",-0.405431830939138,0.97,3.39878916157013,0.04
"Msi2","MmuEX0029828","chr11:88347053-88347125",-0.404160812478845,1,6.42177276268785,0
"Nexn","MmuEX0031536","chr3:152253612-152253803",0.394206251862644,0.981333333333333,3.69965927671694,0
"Macf1","MmuEX0027446","chr4:123542492-123542587",0.386555482347638,0.997333333333333,4.48353547682656,0
"Sorbs1","MmuEX0044361","chr19:40344356-40344439",0.370982951555192,0.994,4.85866139906722,0
"Rgs19","MmuEX0039641","chr2:181691490-181691586",-0.368553950234145,0.971333333333333,3.17934071117915,0.01
"Rnf138","MmuEX0040027","chr18:21024409-21024516",-0.35663343678497,0.987333333333333,2.7997891659381,0
"Depdc5","MmuEX0014329","chr5:32959281-32959346",0.352062017407002,0.967333333333333,2.52962757425872,0
"Ep400","MmuEX0016972","chr5:110740182-110740289",-0.351841320397994,0.998666666666667,3.70522831504522,0
"March11","MmuEX0027916","chr15:26387748-26387940",-0.346888946191798,0.994,3.24522410028355,0
"4932438A13Rik","MmuEX0001802","chr3:37022970-37023032",-0.346848281808893,0.964666666666667,2.90418462058948,0.01
"Myof","MmuEX0030610","chr19:37969907-37969945",-0.338024801513002,1,4.2480606143799,0
"Mef2d","MmuEX0028570","chr3:88161781-88161801",0.337159113182709,0.999333333333333,4.05885621681446,0
"Rbfox2","MmuEX0039029","chr15:77094451-77094490",-0.336612142560083,1,3.96171733653395,0
"Ank1","MmuEX0004885","chr8:23141596-23141720",0.33317074523165,1,6.41717294973527,0
"Map2k7","MmuEX0027696","chr8:4240688-4240735",0.328855977967704,0.998666666666667,5.00911147112,0
"Mef2c","MmuEX6059509","chr13:83625470-83625607",0.328609562099292,0.978,4.64728320073187,0
"Abi1","MmuEX0003242","chr2:22963214-22963228",0.325654910574793,1,6.42282288579052,0
"Slmap","MmuEX0043711","chr14:26429788-26429910",-0.322761700009309,1,5.1959809261865,0
"Enah","MmuEX0016847","chr1:181911597-181911659",0.320290838372927,1,7.39917868809298,0
"4833439L19Rik","MmuEX0001385","chr13:54564515-54564621",-0.319035977870743,1,8.9986324725595,0
"Nfib","MmuEX0031611","chr4:82320474-82320556",-0.317014123565096,0.998666666666667,4.11508720564978,0
"Mef2d","MmuEX0028567","chr3:88158221-88158300",0.312127277152573,0.995333333333333,3.6238477406099,0
"Flnb","MmuEX0019338","chr14:7922675-7922713",-0.306078367427538,1,9.24579082836307,0
"Nek4","MmuEX0031456","chr14:30974308-30974358",0.302396057741638,0.958666666666667,2.1788348297623,0
"Arap1","MmuEX1004155","chr7:101393926-101394467",0.30101451224115,0.979333333333333,2.02780084938968,0.05
"Slc44a1","MmuEX1024036","chr4:53565397-53565472",-0.297541796352459,1,5.42847798413004,0
"Ldb3","MmuEX0026258","chr14:34555343-34555528",0.292555215407574,0.953333333333333,2.51105173213557,0
"Mef2c","MmuEX0028563","chr13:83625265-83625324",-0.291717902718329,0.962,3.69687236452068,0.02
"Ncam1","MmuEX1018201","chr9:49540415-49540417",-0.287223969746478,0.998666666666667,3.72811795173743,0.01
"Tbc1d1","MmuEX0046378","chr5:64283967-64284125",0.282970500753872,0.996666666666667,2.42797403005234,0
"Tpm1","MmuEX0048596","chr9:67029664-67029742",0.282611704216572,1,36.4638895400219,0
"Mef2a","MmuEX0028559","chr7:67244521-67244544",0.280644185190458,0.998,3.39861011514849,0
"Rassf1","MmuEX0038940","chr9:107554823-107554925",0.279837094239743,1,3.78223256862613,0
"Tbc1d1","MmuEX0046379","chr5:64284690-64284809",0.277448587160285,0.992,2.92371690139896,0
"Scarb1","MmuEX0041173","chr5:125281105-125281233",-0.274118498330844,1,5.26708300233063,0
"Nf1","MmuEX0031550","chr11:79463233-79463295",-0.266697799529292,0.962666666666667,2.37444591077342,0.03
"Dtx2","MmuEX0015853","chr5:136026470-136026607",-0.266577440001703,0.998,3.59624293442739,0.03
"Pkp4","MmuEX0035467","chr2:59350494-59350622",0.254783888787746,0.982666666666667,2.6468103101442,0.01
"Fxr1","MmuEX0019782","chr3:34064974-34065054",0.24993868168715,1,13.7246178474776,0
"Prepl","MmuEX0037022","chr17:85088340-85088439",-0.24685335809382,0.955333333333333,1.67023536595305,0
"Tjap1","MmuEX0047378","chr17:46271800-46271929",-0.246647733476094,0.988666666666667,2.68673052980387,0
"Itga7","MmuEX0024625","chr10:128941445-128941576",-0.243173746556859,1,10.8904633934113,0
"Cbx5","MmuEX0009400","chr15:103215022-103215121",0.242905448364468,1,6.75872577672241,0
"Mef2d","MmuEX0028566","chr3:88158034-88158171",-0.241787399757208,0.998,4.12946119154561,0
"Pitpnb","MmuEX0035275","chr5:111385520-111385604",-0.241318525049097,1,6.58021280116884,0
"Mbnl1","MmuEX0028092","chr3:60528756-60528978",-0.237813595012289,0.998666666666667,3.46938873934562,0
"Pdlim7","MmuEX0034296","chr13:55506819-55507123",0.23429679782254,1,3.16566019769016,0
"Flnc","MmuEX0019346","chr6:29452799-29452897",-0.233687657895261,1,9.44892113878592,0
"Idh3g","MmuEX0023592","chrX:73782298-73782309",0.227187369724496,0.99,3.05285243739473,0
"Rhot1","MmuEX0039752","chr11:80264314-80264387",0.226456295249045,0.978,4.0591370558801,0
"Itga7","MmuEX0024626","chr10:128941850-128941941",0.224907792379479,1,10.6812507455163,0
"Nexn","MmuEX0031533","chr3:152249660-152249701",-0.222316013652915,0.959333333333333,2.9746948623401,0
"Srrm1","MmuEX0044964","chr4:135329004-135329045",0.222201143867004,0.985333333333333,2.9317955469551,0.02
"Prrx1","MmuEX0037433","chr1:163253977-163254048",-0.220410664234236,0.980666666666667,2.53286048203053,0
"Ehbp1l1","MmuEX1009295","chr19:5717662-5717838",0.212701541985626,1,5.3345529299257,0
"Pym1","MmuEX1021326","chr10:128748528-128748566",0.212303264026027,0.974,2.68292021944756,0
"Sun1","MmuEX0045736","chr5:139229753-139229944",-0.207909527244785,0.966666666666667,2.17084643192157,0
"Msi2","MmuEX0029827","chr11:88348784-88348938",-0.206287104132326,0.999333333333333,4.54166503264228,0
"Ctnnd1","MmuEX0013079","chr2:84612532-84612549",0.206120123582883,0.996,3.58224204410679,0
"Col6a3","MmuEX0012335","chr1:90821802-90822404",0.204845878222726,0.989333333333333,3.22072119047037,0
"Spast","MmuEX0044526","chr17:74359259-74359349",-0.204004544820209,0.954,2.26690967308525,0.02
"Ppp3cb","MmuEX0036790","chr14:20503247-20503276",0.202062074843362,0.976,2.52723167392456,0.01
"Pym1","MmuEX0052173","chr10:128750283-128750337",0.200720211142831,0.974666666666667,2.77583910500342,0.02
"Bag6","MmuEX0007608","chr17:35142560-35142605",-0.197310983424228,1,3.83177972225463,0
"Pam","MmuEX0033527","chr1:97864203-97864520",0.194279082785808,0.999333333333333,4.20066200490824,0
"Fam188a","MmuEX0018163","chr2:12410001-12410080",-0.193572828524464,0.971333333333333,3.44997806948841,0
"Macf1","MmuEX0027469","chr4:123386549-123386557",-0.193333999320606,0.999333333333333,4.96750959021512,0
"Myo18a","MmuEX0030449","chr11:77815856-77815891",0.192858684598902,0.99,4.01394221062417,0.01
"Htra2","MmuEX0023442","chr6:83052698-83052726",-0.190084841997682,0.998666666666667,4.36622013682064,0
"Scrib","MmuEX0041309","chr15:76061739-76061801",-0.185185887767291,0.969333333333333,2.4952710379503,0.01
"Huwe1","MmuEX0023490","chrX:151859461-151859688",-0.185125328179231,0.99,3.88173086005297,0.01
"Anxa7","MmuEX0005349","chr14:20467458-20467523",0.1834005517251,1,12.1219068647112,0
"Rhot1","MmuEX0039751","chr11:80257514-80257636",0.181882617480717,0.963333333333333,2.53246284058763,0.02
"Rbfox2","MmuEX0039030","chr15:77091812-77091854",0.181390579705258,1,4.09448097806796,0
"Pkp4","MmuEX0035464","chr2:59214934-59215030",0.179610036868212,0.988,3.86427603367082,0.03
"Mbnl1","MmuEX1016906","chr3:60529642-60529804",-0.179461574257575,0.992666666666667,2.52241189578872,0
"Vcan","MmuEX0051302","chr13:89702918-89705797",-0.177847698359785,0.964666666666667,2.65331426833329,0
"Ncor1","MmuEX0031194","chr11:62359761-62359934",-0.177257475682931,0.959333333333333,2.21605917048726,0
"Sh3glb2","MmuEX0042199","chr2:30346059-30346073",0.176535253111312,0.992666666666667,3.73821775777607,0
"Fmr1","MmuEX0019414","chrX:68705861-68705923",-0.175822159144186,0.958,1.91530216064209,0
"Sytl2","MmuEX0046065","chr7:90395163-90395282",-0.167455900392743,0.992,3.37627351182913,0
"Spag9","MmuEX0044511","chr11:94113263-94113301",0.16725423520093,0.972,2.67518971984382,0
"Zfp655","MmuEX1028599","chr5:145237050-145237120",0.165667494025399,0.955333333333333,2.93523846901896,0.04
"Ktn1","MmuEX0025961","chr14:47704420-47704488",-0.164600853465355,0.964666666666667,3.2283813074403,0
"Sptan1","MmuEX0044723","chr2:30014158-30014172",0.160523106276981,0.992666666666667,3.19823343462306,0
"Capzb","MmuEX0009114","chr4:139288861-139288973",0.160285387155901,1,8.94484095631291,0
"Prrc2b","MmuEX0037403","chr2:32229263-32229344",0.160170310703237,0.962666666666667,2.76250868786465,0.01
"Ubqln1","MmuEX0050301","chr13:58180822-58180866",-0.159750576718008,0.998666666666667,3.47940530267087,0
"Trip10","MmuEX0048979","chr17:57256860-57257027",0.159643378100554,0.997333333333333,4.38716964026593,0
"Bnip2","MmuEX0008099","chr9:70004306-70004341",0.159422951935572,0.997333333333333,2.7560812204758,0
"Immt","MmuEX0024087","chr6:71852766-71852867",-0.154889412214117,1,2.78739543473684,0
"Bmp1","MmuEX0008056","chr14:70486554-70486925",0.15460313972304,0.967333333333333,2.66015316307464,0
"Mars","MmuEX0027974","chr10:127296717-127296740",0.152975227497449,0.999333333333333,4.73463819116698,0
"Iffo2","MmuEX0023610","chr4:139606422-139606562",-0.152973912492915,0.980666666666667,2.5169901420944,0.02
"Wnk1","MmuEX0052216","chr6:119953771-119953902",0.150666668620363,1,4.69015213482378,0
"Col5a1","MmuEX0012316","chr2:28028967-28029035",0.148279238304821,0.992666666666667,3.0365317979106,0
"R3hdm2","MmuEX0038219","chr10:127462188-127462283",-0.148262727048024,0.965333333333333,2.07413745720314,0
"Epb41l3","MmuEX0017007","chr17:69274101-69274166",0.147328815717138,0.994666666666667,3.36662956706864,0
"Pbdc1","MmuEX1019505","chrX:105083023-105083199",-0.146161989225917,0.951333333333333,2.43277530021071,0
"Mprip","MmuEX0029580","chr11:59772152-59772217",-0.14581352433403,1,9.2266753420544,0
"Zfp207","MmuEX0053090","chr11:80393084-80393176",0.144133157301808,1,4.98782840328079,0
"Dab2","MmuEX0013704","chr15:6424635-6424697",-0.143274434125098,0.968666666666667,2.95388920362433,0.01
"Fgfr1","MmuEX0019144","chr8:25555508-25555774",-0.142304335738052,0.996,3.9782946452938,0
"Epb41l3","MmuEX0017003","chr17:69287612-69287728",0.140237736623847,0.994666666666667,2.86564354867703,0
"Map4","MmuEX0029912","chr9:110071026-110071139",-0.13982616244239,0.992666666666667,2.49567636641899,0
"Cd99l2","MmuEX0010290","chrX:71449939-71450007",-0.139016697014063,0.952666666666667,1.91496092293289,0.02
"Dpf2","MmuEX0015565","chr19:5903731-5903772",0.137497539309576,0.998,5.0752989635908,0
"Immt","MmuEX0024088","chr6:71853179-71853268",-0.136726586972386,0.998,4.10941118809273,0
"Epb41l2","MmuEX0016997","chr10:25495445-25495591",-0.135457464247472,0.968,2.12812879529591,0
"Atp6v1h","MmuEX0006918","chr1:5101070-5101123",-0.1351420457396,0.985333333333333,3.2896014931156,0.01
"Malsu1","MmuEX0000995","chr6:49075086-49075264",-0.132360356170486,0.979333333333333,2.73773415330028,0
"Rab6a","MmuEX0038387","chr7:100629838-100629943",-0.131779251855094,0.999333333333333,3.67252265524422,0
"Lrrfip1","MmuEX1016483","chr1:91114596-91120020",-0.131139381448729,0.953333333333333,1.60767900569617,0
"Nasp","MmuEX0030915","chr4:116610403-116611377",-0.130384162714028,0.95,2.02217589335638,0.03
"Fmnl3","MmuEX0019406","chr15:99329280-99329432",-0.129749769583264,1,5.58298553212413,0
"Picalm","MmuEX0035017","chr7:90182240-90182368",-0.12687766830693,0.98,2.72915296130168,0
"H13","MmuEX0022264","chr2:152703995-152704194",0.12686925219821,0.998,4.21065334441485,0
"Cfap20","MmuEX0022154","chr8:95424617-95424696",-0.123366127995727,0.952,2.38153014220751,0
"Col6a3","MmuEX0012337","chr1:90813215-90813814",0.122320561492228,0.994666666666667,3.12222565037703,0
"Stim2","MmuEX0045375","chr5:54110116-54110139",0.121405929814036,0.976666666666667,2.52457235433778,0.01
"Tfe3","MmuEX0046713","chrX:7763949-7763998",-0.117343309728609,0.973333333333333,2.97336883351981,0.03
"Usp47","MmuEX0051049","chr7:112046927-112046986",0.112405349737275,0.994666666666667,3.73401936186687,0.04
"Chtf8","MmuEX0011409","chr8:106886920-106887037",0.112048252957729,0.979333333333333,2.49719217069712,0
"Pdlim7","MmuEX0034298","chr13:55507864-55507880",0.111186109417953,0.995333333333333,3.25613037530827,0
"Fxr1","MmuEX0019783","chr3:34068161-34068252",0.107481258705644,0.968,1.82374003203125,0
"Tpd52l2","MmuEX0048580","chr2:181502876-181502935",-0.107290962802007,0.997333333333333,3.59536854041544,0
"Farsb","MmuEX0018640","chr1:78482308-78482363",-0.10715673251008,0.960666666666667,2.78291101965374,0.04
"Os9","MmuEX0033177","chr10:127096915-127097079",0.106645204330245,0.983333333333333,2.43627152699045,0.01
"Rbfox2","MmuEX0039032","chr15:77105577-77105669",-0.10616923724976,0.997333333333333,3.71634268261684,0
"Ptprs","MmuEX0037988","chr17:56425327-56425926",0.106034985239655,0.995333333333333,3.05001932038985,0
"Ahnak","MmuEX0004390","chr19:9001699-9002115",-0.104668822917663,0.999333333333333,3.62725360400691,0
"Plekhj1","MmuEX0035798","chr10:80797910-80797977",0.101507547695816,0.964,2.50465446837164,0.02
"Sptan1","MmuEX0044725","chr2:30001100-30001159",-0.101004517605733,0.987333333333333,3.33604378551626,0
"Actn1","MmuEX0003623","chr12:80170686-80170766",0.0989876587209614,0.998,4.18580738815066,0
"Csnk1d","MmuEX0012919","chr11:120964948-120965010",-0.0974479547761986,0.960666666666667,2.11994512137986,0
"Klc1","MmuEX0025678","chr12:111793649-111793699",-0.0971381915279247,0.982666666666667,2.9358441723783,0
"P4ha1","MmuEX0033404","chr10:59355350-59355420",-0.0967145407000924,0.991333333333333,3.50908300977827,0
"Pip4k2c","MmuEX0035236","chr10:127211028-127211110",0.0938781242333251,0.984666666666667,3.66076331257657,0
"Map4k4","MmuEX0027798","chr1:40003763-40003987",-0.0919984164183295,0.975333333333333,2.69514016104081,0.01
"Hspg2","MmuEX0023411","chr4:137510122-137510167",0.0919512457865771,0.972,2.22213751947568,0.01
"Ubap2l","MmuEX0050122","chr3:90031311-90031370",-0.0897764725817877,0.996,3.73205970695025,0
"Pkig","MmuEX0035410","chr2:163703486-163703555",0.0888001654003105,0.97,2.74060340965019,0
"Map4k4","MmuEX0027794","chr1:40008335-40008339",0.0873630508375101,0.968666666666667,2.20666408234086,0
"Calu","MmuEX0008942","chr6:29361560-29361753",-0.0870204947255555,0.991333333333333,2.51591461311669,0
"Ccar1","MmuEX0009438","chr10:62764324-62764534",-0.0865117838221736,0.950666666666667,1.90489496460711,0
"Tnc","MmuEX0048241","chr4:63984460-63984732",-0.086470054885403,0.996666666666667,4.49302128251989,0
"Ltbp3","MmuEX0027268","chr19:5757035-5757175",0.0863058946279191,0.997333333333333,3.25800391860118,0
"Rab6a","MmuEX0038386","chr7:100629666-100629771",0.0861105197546748,0.981333333333333,3.06482105851639,0
"Cltc","MmuEX0011807","chr11:86701061-86701081",0.0852755440563214,0.995333333333333,2.76918940454503,0
"Nbr1","MmuEX0031022","chr11:101577932-101578037",0.0836482259790505,0.950666666666667,2.20058609178216,0.01
"Ppfibp1","MmuEX0036527","chr6:146917748-146917908",-0.0823144556126811,0.968,2.34130855755343,0.01
"Calu","MmuEX0008941","chr6:29361294-29361487",0.0821462601787863,0.990666666666667,2.64668336639709,0
"Ptprs","MmuEX0037987","chr17:56426387-56426455",0.0818193337394104,0.958666666666667,3.11984628607047,0.01
"Fn1","MmuEX0019423","chr1:71613763-71614035",-0.0810104003491198,1,7.26029475262362,0
"Dst","MmuEX0015773","chr1:34301861-34301932",0.080726460578105,0.972,2.79504643777901,0.02
"Actn1","MmuEX0003624","chr12:80170183-80170245",-0.0797859006581227,0.987333333333333,2.61643312442721,0
"Bag6","MmuEX0007605","chr17:35139023-35139076",-0.0791622313156064,0.955333333333333,2.28779736940467,0
"Epb41l3","MmuEX0017010","chr17:69283885-69284007",0.077935353421769,0.957333333333333,2.74556222963046,0
"Zfr","MmuEX0053757","chr15:12118239-12118338",0.0767526026548879,0.962,2.48989744099658,0.03
"Timm22","MmuEX0047345","chr11:76409642-76409838",-0.0765849706766537,0.961333333333333,2.00467023729692,0
"Fn1","MmuEX0019422","chr1:71603660-71603929",-0.0759085615894508,1,3.4547676939453,0
"Map4k4","MmuEX0027796","chr1:40011650-40011841",0.0739048516260646,0.98,2.71299954527602,0
"Mxra7","MmuEX0030256","chr11:116810788-116810867",0.0715979219876907,0.996,4.00943603251186,0
"Lrrfip1","MmuEX0027116","chr1:91093560-91093637",0.0711257120153976,0.963333333333333,2.38230770954252,0
"Ptprs","MmuEX0037983","chr17:56428852-56429157",0.0687991636817898,0.961333333333333,2.29013034231641,0.01
"Tmpo","MmuEX0048160","chr10:91153278-91153342",-0.068425172134471,0.965333333333333,2.8147870956568,0
"Mical2","MmuEX0028975","chr7:112345246-112345353",0.0670066247690263,0.97,2.39905810158314,0
"Pkm","MmuEX0035418","chr9:59675029-59675195",0.0669548956191273,1,7.64902487680016,0
"Tmpo","MmuEX0048158","chr10:91153085-91153180",-0.0667521623985385,0.981333333333333,3.1549685999299,0
"Hnrnph1","MmuEX0023107","chr11:50381459-50381597",-0.0637924796707721,0.974666666666667,2.32024929029218,0
"Tex264","MmuEX0047035","chr9:106681868-106682163",-0.0615335305714365,0.952,2.23528263356517,0.01
"Mprip","MmuEX0029582","chr11:59741991-59742098",-0.0600934957621142,1,5.49267618203703,0
"Tpm1","MmuEX0048597","chr9:67032466-67032541",-0.05924385237277,1,8.0637515532598,0
"Hnrnpab","MmuEX0023097","chr11:51601750-51601890",-0.0557780201212195,1,4.72411968899907,0
"Psap","MmuEX0037479","chr10:60297540-60297545",0.0533695659630097,1,7.49497824645031,0
"Plec","MmuEX0035674","chr15:76178519-76178665",0.0511826061121182,0.954,2.34796183084223,0
"Tpm1","MmuEX0048598","chr9:67031951-67032026",0.0506849426005158,1,6.9997641308766,0
"Maged1","MmuEX0027531","chrX:94541251-94541324",0.0475745620128172,0.986666666666667,2.43498411433133,0
"Zyx","MmuEX0054111","chr6:42351270-42351362",-0.0463658772497082,0.998,3.04982026039395,0
"U2af2","MmuEX1027152","chr7:5067210-5067254",0.0432189963843632,0.950666666666667,2.20202194652875,0.01
"Uqcr10","MmuEX0050726","chr11:4703904-4703989",-0.0424969174091672,0.99,2.85511992077179,0
"Ndufs4","MmuEX0031318","chr13:114351448-114351526",-0.0423629929521685,0.974,2.37041413143998,0
"Gnas","MmuEX0021321","chr2:174336747-174336791",-0.0421648976433159,1,4.83503295533383,0
"Flna","MmuEX0019330","chrX:74232967-74232990",0.0405528323252768,0.97,1.95235839181254,0
"Dazap1","MmuEX0013782","chr10:80280929-80281011",-0.0393543406020185,0.951333333333333,2.25424893335141,0
"Ndufa5","MmuEX0031286","chr6:24522659-24522775",-0.0333755972683286,0.961333333333333,2.0848605854381,0
"Lrrfip1","MmuEX0027126","chr1:91110355-91110447",0.0304799618259131,0.960666666666667,2.50889534701739,0
"Fhl1","MmuEX0019224","chrX:56791336-56791438",-0.025922562871716,0.97,2.99791757425495,0
"Pacsin2","MmuEX0033442","chr15:83379684-83379806",-0.0252487994390022,0.973333333333333,2.41796608687065,0
