"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Pde4dip","MmuEX0034178","chr3:97706872-97707057",0.902941153557665,1,55.3715026365613,0
"Coro6","MmuEX0012480","chr11:77467750-77467869",0.901651641441858,1,42.7014344115132,0
"Srl","MmuEX1024826","chr16:4522993-4523088",0.898921019675253,1,35.7912707808522,0
"Sorbs1","MmuEX0044363","chr19:40340045-40340146",0.89137968454275,1,38.7523840759103,0
"Ldb3","MmuEX0026260","chr14:34571718-34571921",0.873991898093805,1,39.4492744903145,0
"Cd200","MmuEX0010148","chr16:45393523-45393577",0.861502976468811,1,43.0510357190703,0
"Slc25a3","MmuEX0042888","chr10:91122207-91122331",0.850650405495255,1,114.72494562498,0
"Clasp1","MmuEX1006888","chr1:118546186-118546188",-0.833969018058959,1,34.3448531043846,0
"Fsd1l","MmuEX0019699","chr4:53687207-53687239",0.827137956340793,1,25.8078414246169,0
"Macf1","MmuEX0027446","chr4:123542492-123542587",0.817496446474646,1,68.0407686108779,0
"Lmo7","MmuEX0026626","chr14:101885291-101885572",0.807903047638397,1,38.8322655478897,0
"Ncam1","MmuEX0031042","chr9:49541888-49541902",0.804287215420342,1,22.1561884468435,0
"Ncam1","MmuEX1018201","chr9:49540415-49540417",-0.791484700043014,1,29.8913864091997,0
"Fxr1","MmuEX0019782","chr3:34064974-34065054",0.785348871037692,1,56.1527698807562,0
"Mef2d","MmuEX0028570","chr3:88161781-88161801",0.778949694889733,1,32.7167737296094,0
"Uso1","MmuEX0050799","chr5:92183482-92183502",0.772922593828434,1,28.7772614067327,0
"Seh1l","MmuEX1023224","chr18:67793217-67793677",-0.766730372179081,1,29.9055636424091,0
"Lrrfip2","MmuEX0027140","chr9:111213813-111213914",0.761593794318798,1,35.4431165500893,0
"Nav2","MmuEX0030955","chr7:49412826-49412894",0.755531437578318,1,20.656988407078,0
"Rapgef1","MmuEX0038772","chr2:29719593-29719850",0.754058206625444,1,30.8553960768488,0
"Tnnt3","MmuEX0048346","chr7:142505522-142505530",0.749925617982568,1,11.5889207964483,0
"Ttn","MmuEX0049743","chr2:76827885-76827968",-0.743948575382646,1,22.701639669291,0
"Flnc","MmuEX0019346","chr6:29452799-29452897",-0.742461787665389,1,41.9391005465345,0
"Ttn","MmuEX0049842","chr2:76848279-76848356",-0.737570432641012,1,36.224302513642,0
"Lrrfip2","MmuEX0027139","chr9:111207797-111207889",0.729132366578759,1,36.2038142599266,0
"Anxa7","MmuEX0005349","chr14:20467458-20467523",0.729032274748001,1,37.4945139350715,0
"Idh3b","MmuEX0023589","chr2:130279587-130279726",-0.724957859340062,1,16.6046171304119,0
"Fsd1l","MmuEX0019700","chr4:53655741-53655763",0.724925111372374,1,11.2169756348907,0
"Ttn","MmuEX0049709","chr2:76844772-76844855",-0.723756880635646,1,31.7458874993892,0
"Ldb3","MmuEX0026259","chr14:34576986-34577344",-0.720868896446967,1,23.4299695482469,0
"Macf1","MmuEX0027469","chr4:123386549-123386557",-0.712531873509482,1,59.2213949729124,0
"Mef2a","MmuEX0028559","chr7:67244521-67244544",0.712479095722223,1,34.3196911767399,0
"Enah","MmuEX0016847","chr1:181911597-181911659",0.708740672506383,1,30.0235879748235,0
"Mpp6","MmuEX0029552","chr6:50176877-50176918",0.708658262487814,1,10.9876093508683,0
"Ttn","MmuEX0049742","chr2:76828101-76828187",-0.706663842971575,1,28.2958835884783,0
