"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Hist1h2bc","MmuINT0077927","chr13:23684622-23692175",-0.68476564905448,1,27.9674141663704,0
"Pde4dip","MmuINT1026428","chr3:97730916-97741317",-0.615961750593779,0.999333333333333,9.73348481237216,0
"Clcf1","MmuINT0036891","chr19:4220345-4222073",0.585949177597249,0.976666666666667,3.57950922184153,0
"Usp5","MmuINT0172005","chr6:124818032-124818543",0.546378149802497,1,6.58288251278605,0
"Pcmt1","MmuINT1026355","chr10:7630977-7638055",0.503301544024496,0.998,4.33516060135307,0
"Dnajb6","MmuINT1008920","chr5:29766396-29781129",-0.432801976097899,1,3.95010351890382,0
"Exosc9","MmuINT0059882","chr3:36565297-36565428",-0.430999390918934,1,5.82500540989535,0
"Cdkn2c","MmuINT1006662","chr4:109665158-109665609",0.427220207924567,0.995333333333333,3.74944787279121,0
"Phospho1","MmuINT1026631","chr11:95828776-95830550",0.406891017112394,0.975333333333333,3.40520230966061,0
"Tpm2","MmuINT1033613","chr4:43514862-43518229",0.398321196198633,1,6.0990070428695,0
"Twf2","MmuINT0168360","chr9:106203285-106206888",0.393576318146198,0.989333333333333,4.30875731565663,0
"Tnnt1","MmuINT0163366","chr7:4514380-4515930",-0.343271747503498,0.964,12.0915764417468,0
"Arl2bp","MmuINT0018915","chr8:94666902-94667596",0.328513639491643,0.997333333333333,6.60915119176289,0
"Sec14l1","MmuINT1030812","chr11:117156903-117158753",-0.322124924586365,1,3.90916351964365,0
"Cdc45","MmuINT0032953","chr16:18795227-18795824",0.305890882395916,0.972666666666667,3.99644402355236,0
"Araf","MmuINT1004569","chrX:20852029-20853317",0.299808012183529,0.986666666666667,3.1227407386285,0
"Dalrd3","MmuINT1008308","chr9:108572298-108572392",-0.291067748458876,0.973333333333333,2.99764342022187,0
"Racgap1","MmuINT1029454","chr15:99643524-99651506",0.285574160348551,0.975333333333333,3.10741554522247,0
"Exosc9","MmuINT1009847","chr3:36563258-36565217",-0.285186525945937,0.99,3.6861244686061,0
"Pigf","MmuINT1026649","chr17:86997568-87008802",0.216995270884834,0.968,2.12077630817552,0
"Fxr1","MmuINT1010600","chr3:34058082-34058168",0.194573952070987,1,5.82042502472419,0
"Sept11","MmuINT0141480","chr5:93167688-93171338",0.172748283249998,0.959333333333333,2.98268480581311,0
"Mtx1","MmuINT0102247","chr3:89209422-89209504",0.168552474982665,0.990666666666667,3.81711574416215,0.03
"Csnk1a1","MmuINT1007826","chr18:61580452-61587425",-0.156956106312248,0.976,2.76531150153672,0.03
"Eno3","MmuINT1009596","chr11:70657268-70657871",0.117271198628151,0.989333333333333,3.16677128140133,0
"Tpm2","MmuINT0164196","chr4:43519079-43519226",0.116808529390019,0.977333333333333,3.76714756977295,0.02
"Myl6","MmuINT1023832","chr10:128491034-128492058",0.0473578985684006,0.999333333333333,5.20497802900526,0
"Spp1","MmuINT1032092","chr5:104435197-104436374",0.0224679900954593,0.995333333333333,4.3866787478058,0
